Rk,School,Conf,AP_Rank,Overall_W,Overall_L,SRS_OSRS,SRS_DSRS,SRS_SRS,Scoring_Off,Scoring_Def,Passing_Off,Passing_Def,Rushing_Off,Rushing_Def,Total_Off,Total_Def,WinPct,MOV,Season,Team,Points_For,Points_Against,Total_Wins,PregameElo_Mean,PregameElo_Start,PostgameElo_End,Excitement,Elo_Delta,AP_Pre,AP_High,ConfStrengthDiff,PollRankGap,SOS
12,Arkansas,SEC (West),,7,6,4.3,10.62,14.91,51.57,-0.01,8.85,4.8,6.3,2.03,7.31,3.48,0.5384615384615384,51.58,2014,Arkansas,415.0,250.0,7,1628.6666666666667,1630.0,1616.0,3.6404174171538464,-14.0,,,-0.28800000000000003,,7.76
13,Florida State,ACC (Atlantic),5.0,13,1,10.59,3.9,14.48,52.0,9.91,9.98,5.53,5.74,3.25,7.96,4.28,0.9285714285714286,42.09,2014,Florida State,472.0,358.0,13,2049.4615384615386,2066.0,2045.0,4.710054904642858,-21.0,1.0,1.0,0.07099999999999995,-4.0,5.13
14,UCLA,Pac-12 (South),10.0,10,3,11.01,3.39,14.4,53.08,8.68,9.58,4.72,6.23,3.03,7.69,3.89,0.7692307692307693,44.4,2014,UCLA,435.0,365.0,10,1766.1538461538462,1740.0,1821.0,5.238497110166667,81.0,7.0,7.0,-0.10199999999999998,-3.0,9.1
15,USC,Pac-12 (South),20.0,9,4,7.74,6.65,14.39,51.31,6.26,9.86,4.91,5.07,2.94,7.29,3.91,0.6923076923076923,45.050000000000004,2014,USC,466.0,327.0,9,1797.0,1794.0,1794.0,4.128745075153846,0.0,15.0,9.0,-0.02499999999999991,-5.0,5.93
16,Arizona State,Pac-12 (South),12.0,10,3,10.24,3.02,13.26,52.01,11.48,9.12,6.07,5.19,3.19,7.05,4.39,0.7692307692307693,40.53,2014,Arizona State,480.0,363.0,10,1740.0833333333333,1746.0,1657.0,4.729321020833333,-89.0,19.0,7.0,-0.10199999999999998,7.0,4.11
17,Kansas State,Big 12,18.0,9,4,6.32,6.42,12.73,51.21,5.43,10.52,5.1,4.65,3.02,7.39,4.08,0.6923076923076923,45.78,2014,Kansas State,465.0,301.0,9,1822.25,1849.0,1729.0,3.122411935,-120.0,20.0,9.0,0.08600000000000008,2.0,3.66
18,Wisconsin,Big Ten (West),13.0,11,3,3.21,9.49,12.7,49.61,6.05,8.06,5.29,7.79,2.56,8.0,3.75,0.7857142857142857,43.56,2014,Wisconsin,484.0,291.0,11,1937.0,1867.0,1886.0,3.2296470993571424,19.0,14.0,11.0,0.08899999999999997,1.0,1.91
19,Marshall,CUSA (East),23.0,13,1,9.23,3.33,12.55,54.77,11.22,9.23,4.98,7.42,3.42,8.26,4.04,0.9285714285714286,43.550000000000004,2014,Marshall,638.0,294.0,13,1769.2307692307693,1809.0,1763.0,2.7520879763571426,-46.0,,18.0,-0.05400000000000005,,-5.81
20,Stanford,Pac-12 (North),,8,5,-2.79,15.21,12.42,40.91,-2.27,9.15,3.51,5.28,2.29,6.97,2.8,0.6153846153846154,43.18,2014,Stanford,353.0,213.0,8,1831.5,1815.0,1873.0,3.929640268769231,58.0,11.0,11.0,-0.05899999999999994,,4.65
21,Missouri,SEC (East),14.0,11,3,2.51,9.51,12.02,44.7,3.23,8.1,4.69,5.8,2.25,6.76,3.45,0.7857142857142857,41.470000000000006,2014,Missouri,389.0,295.0,11,1796.8461538461538,1800.0,1819.0,4.745104806714286,19.0,24.0,14.0,0.08899999999999997,10.0,4.73
22,Arizona,Pac-12 (South),19.0,10,4,6.51,5.39,11.9,49.37,8.71,8.29,5.54,5.4,3.32,6.8,4.29,0.7142857142857143,40.66,2014,Arizona,483.0,395.0,10,1719.9285714285713,1805.0,1714.0,5.3528698715714285,-91.0,,8.0,0.06400000000000006,,6.12
23,Clemson,ACC (Atlantic),15.0,10,3,-1.31,12.94,11.63,45.25,0.3,8.97,3.58,4.45,1.86,6.49,2.67,0.7692307692307693,44.95,2014,Clemson,401.0,217.0,10,1788.4166666666667,1834.0,1730.0,4.068251734461539,-104.0,16.0,15.0,-0.019000000000000017,1.0,2.86
24,LSU,SEC (West),,8,5,-1.43,12.18,10.75,46.0,-0.92,9.57,3.64,5.91,3.12,7.08,3.33,0.6153846153846154,46.92,2014,LSU,359.0,228.0,8,1849.4166666666667,1877.0,1809.0,4.337845868923077,-68.0,13.0,8.0,-0.11499999999999999,,5.98
25,Boise State,MWC (Mountain),16.0,12,2,11.44,-0.86,10.58,53.73,15.47,9.67,5.61,5.76,2.93,7.42,4.32,0.8571428571428571,38.26,2014,Boise State,556.0,375.0,12,1660.9285714285713,1585.0,1585.0,3.7956082455714286,0.0,,16.0,0.018000000000000016,,-0.07
26,Louisville,ACC (Atlantic),24.0,9,4,5.74,4.79,10.52,48.48,7.58,9.42,4.93,4.98,2.49,7.01,3.68,0.6923076923076923,40.9,2014,Louisville,405.0,283.0,9,1796.3333333333333,1796.0,1809.0,5.133643328769231,13.0,,20.0,-0.06699999999999995,,3.22
27,Nebraska,Big Ten (West),,9,4,9.43,0.83,10.26,52.95,12.78,9.05,4.85,6.32,3.67,7.4,4.24,0.6923076923076923,40.17,2014,Nebraska,491.0,343.0,9,1783.1666666666667,1856.0,1823.0,3.8924538877692307,-33.0,22.0,11.0,-0.06699999999999995,,1.72
28,Oklahoma,Big 12,,8,5,5.98,4.23,10.21,52.96,7.88,8.5,5.33,7.27,2.39,7.8,3.93,0.6153846153846154,45.08,2014,Oklahoma,473.0,337.0,8,1882.3076923076924,1970.0,1910.0,3.432706061153846,-60.0,4.0,4.0,-0.05899999999999994,,3.9
29,Texas A&M,SEC (West),,8,5,7.38,2.58,9.96,54.86,11.77,9.54,5.15,5.85,4.05,7.78,4.56,0.6153846153846154,43.09,2014,Texas A&M,458.0,365.0,8,1794.4166666666667,1681.0,1894.0,3.4255198595384613,213.0,21.0,6.0,-0.24,,5.72
30,Utah,Pac-12 (South),21.0,9,4,4.76,5.08,9.84,47.17,8.08,8.28,5.41,5.37,3.02,6.56,3.97,0.6923076923076923,39.09,2014,Utah,407.0,324.0,9,1606.25,1643.0,1637.0,5.872570970769231,-6.0,,18.0,-0.1359999999999999,,5.14
31,Notre Dame,Ind,,8,5,8.86,-0.3,8.56,51.33,13.76,9.77,5.71,5.62,3.3,7.66,4.41,0.6153846153846154,37.57,2014,Notre Dame,427.0,379.0,8,1769.8461538461538,1723.0,1822.0,4.873634625692308,99.0,17.0,5.0,,,5.33
32,Tennessee,SEC (East),,7,6,3.72,4.42,8.13,47.22,7.0,8.28,5.12,4.96,3.02,6.47,3.92,0.5384615384615384,40.22,2014,Tennessee,376.0,315.0,7,1567.3333333333333,1523.0,1563.0,3.6530495050000003,40.0,,,-0.16300000000000003,,5.52
33,Florida,SEC (East),,7,5,0.92,7.21,8.12,46.71,4.54,8.32,4.34,5.44,2.07,6.57,3.21,0.5833333333333334,42.17,2014,Florida,363.0,253.0,7,1688.3636363636363,1686.0,1683.0,4.923416154916667,-3.0,,,-0.08299999999999996,,4.29
34,West Virginia,Big 12,,7,6,6.18,1.89,8.07,49.34,8.69,9.3,4.76,5.34,3.36,7.22,3.97,0.5384615384615384,40.650000000000006,2014,West Virginia,435.0,359.0,7,1561.25,1668.0,1505.0,5.638640833461538,-163.0,,20.0,0.018000000000000016,,4.45
36,Memphis,American,25.0,10,3,3.75,3.46,7.22,48.99,9.85,8.38,5.23,4.98,2.83,6.43,4.02,0.7692307692307693,39.14,2014,Memphis,471.0,253.0,10,1492.9166666666667,1541.0,1382.0,3.904092346846154,-159.0,,25.0,0.10599999999999998,,-4.25
37,Minnesota,Big Ten (West),,8,5,3.41,3.32,6.74,44.51,8.84,8.9,5.04,5.92,3.58,6.88,4.24,0.6153846153846154,35.67,2014,Minnesota,369.0,314.0,8,1603.6666666666667,1562.0,1568.0,4.32547079676923,6.0,,22.0,0.010000000000000009,,3.04
38,Virginia Tech,ACC (Coastal),,7,6,-1.93,8.64,6.71,38.72,3.18,7.47,5.0,4.82,2.78,6.04,3.8,0.5384615384615384,35.54,2014,Virginia Tech,313.0,262.0,7,1574.6666666666667,1557.0,1633.0,5.615247198076924,76.0,,17.0,-0.16300000000000003,,3.32
39,South Carolina,SEC (East),,7,6,9.39,-2.69,6.7,50.68,13.61,9.81,5.76,5.72,4.32,7.71,4.93,0.5384615384615384,37.07,2014,South Carolina,424.0,395.0,7,1772.5833333333333,1754.0,1789.0,4.846729030153846,35.0,9.0,9.0,-0.16300000000000003,,4.93
40,Duke,ACC (Coastal),,9,4,3.59,3.05,6.64,46.74,10.5,7.16,5.27,5.7,3.83,6.44,4.47,0.6923076923076923,36.24,2014,Duke,421.0,283.0,9,1632.8333333333333,1665.0,1654.0,4.251610434307692,-11.0,,19.0,-0.06699999999999995,,-0.82
41,Washington,Pac-12 (North),,8,6,1.73,4.8,6.52,42.78,8.72,8.29,5.8,5.1,2.82,6.4,4.17,0.5714285714285714,34.06,2014,Washington,423.0,347.0,8,1718.5384615384614,1722.0,1774.0,4.139431911846154,52.0,25.0,25.0,-0.12699999999999995,,1.6
42,Boston College,ACC (Atlantic),,7,6,2.16,3.89,6.04,42.99,8.28,8.63,5.63,6.45,2.59,7.14,4.12,0.5384615384615384,34.71,2014,Boston College,341.0,277.0,7,1491.0833333333333,1504.0,1504.0,4.861026125692307,0.0,,,-0.038000000000000034,,2.35
43,Colorado State,MWC (Mountain),,10,3,4.02,1.44,5.47,44.66,14.4,10.26,5.75,5.32,4.14,7.79,4.98,0.7692307692307693,30.259999999999998,2014,Colorado State,441.0,326.0,10,1578.5833333333333,1569.0,1534.0,3.6332768135,-35.0,,21.0,-0.019000000000000017,,-2.84
44,Louisiana Tech,CUSA (West),,9,5,2.56,2.9,5.46,48.16,10.98,8.32,5.12,4.92,2.41,6.61,3.84,0.6428571428571429,37.17999999999999,2014,Louisiana Tech,523.0,346.0,9,1560.2307692307693,1553.0,1441.0,3.5808620213076923,-112.0,,,0.23199999999999998,,-1.61
45,Virginia,ACC (Coastal),,5,7,-0.62,5.46,4.83,41.3,7.36,7.99,5.44,4.71,2.27,6.29,3.82,0.4166666666666667,33.94,2014,Virginia,310.0,289.0,5,1388.0,1424.0,1337.0,4.91200126175,-87.0,,,-0.04199999999999998,,4.5
46,BYU,Ind,,8,5,5.58,-1.2,4.38,50.2,15.49,8.78,5.45,5.21,2.73,6.82,4.19,0.6153846153846154,34.71,2014,BYU,482.0,358.0,8,1690.5,1707.0,1707.0,4.668635678692308,0.0,,18.0,,,-1.32
48,Texas,Big 12,,6,7,-4.98,8.96,3.98,37.63,3.53,7.78,3.86,5.0,2.83,6.24,3.22,0.46153846153846156,34.1,2014,Texas,278.0,310.0,6,1638.5384615384614,1616.0,1637.0,3.7558680766153847,21.0,,,0.09400000000000003,,5.29
49,Utah State,MWC (Mountain),,10,4,-2.91,6.54,3.63,37.02,8.99,8.06,5.32,5.42,2.82,6.58,4.05,0.7142857142857143,28.03,2014,Utah State,377.0,276.0,10,1620.4615384615386,1625.0,1613.0,3.601870415857143,-12.0,,,0.03600000000000003,,-3.59
50,Rutgers,Big Ten (East),,8,5,1.1,2.09,3.19,41.27,13.77,9.78,6.13,5.57,4.3,7.3,5.03,0.6153846153846154,27.500000000000004,2014,Rutgers,347.0,392.0,8,1447.5833333333333,1452.0,1462.0,3.671384054076923,10.0,,,-0.24,,2.5
52,California,Pac-12 (North),,5,7,12.7,-10.15,2.55,54.48,22.53,9.45,6.49,5.15,3.36,7.42,5.03,0.4166666666666667,31.949999999999996,2014,California,459.0,477.0,5,1306.0,1278.0,1279.0,5.404468639166667,1.0,,,-0.08399999999999996,,5.3
53,Penn State,Big Ten (East),,7,6,-5.05,7.51,2.46,36.51,4.74,7.62,4.44,4.15,2.0,5.94,3.14,0.5384615384615384,31.769999999999996,2014,Penn State,268.0,242.0,7,1585.923076923077,1558.0,1558.0,6.066801088384616,0.0,,,-0.28800000000000003,,1.54
54,Cincinnati,American,,9,4,5.37,-2.95,2.42,48.74,16.75,9.37,6.54,5.58,4.06,7.54,5.15,0.6923076923076923,31.990000000000002,2014,Cincinnati,442.0,354.0,9,1594.1538461538462,1526.0,1609.0,3.2939496778333335,83.0,,,0.18300000000000005,,-2.2
55,East Carolina,American,,8,5,5.4,-3.06,2.35,48.1,16.72,8.54,5.97,5.57,2.97,7.37,4.52,0.6153846153846154,31.380000000000003,2014,East Carolina,466.0,336.0,8,1648.9166666666667,1683.0,1683.0,4.437655728846154,0.0,,18.0,0.010000000000000009,,-4.96
56,Air Force,MWC (Mountain),,10,3,1.21,0.99,2.2,40.21,14.32,10.0,6.46,4.69,2.92,5.9,4.72,0.7692307692307693,25.89,2014,Air Force,409.0,314.0,10,1323.6666666666667,1320.0,1320.0,5.111368419461538,0.0,,,-0.14400000000000002,,-4.88
57,Navy,Ind,,8,5,3.34,-1.15,2.19,44.06,14.8,9.27,5.6,6.69,3.96,7.23,4.74,0.6153846153846154,29.26,2014,Navy,414.0,355.0,8,1531.6666666666667,1487.0,1478.0,4.131720083076923,-9.0,,,,,-1.5
58,Western Kentucky,CUSA (East),,8,5,14.05,-12.06,1.99,55.16,28.01,9.69,7.83,5.45,4.04,7.83,5.72,0.6153846153846154,27.149999999999995,2014,Western Kentucky,577.0,519.0,8,1496.923076923077,1506.0,1562.0,5.385089269923077,56.0,,,-0.11499999999999999,,-3.01
59,UCF,American,,9,4,-0.92,2.89,1.98,40.9,10.88,8.51,5.33,4.15,2.68,6.1,3.91,0.6923076923076923,30.019999999999996,2014,UCF,365.0,249.0,9,1684.5833333333333,1670.0,1657.0,4.220056282769231,-13.0,,,0.18300000000000005,,-4.95
60,Georgia Southern,Sun Belt,,9,3,1.62,0.28,1.89,46.82,14.21,9.22,5.69,7.18,3.74,7.88,4.72,0.75,32.61,2014,Georgia Southern,469.0,281.0,9,1541.090909090909,1594.0,1540.0,3.3176635961666663,-54.0,,,0.25,,-8.19
61,Michigan,Big Ten (East),,5,7,-5.47,7.29,1.82,36.81,5.78,7.98,5.2,5.72,2.1,6.69,3.46,0.4166666666666667,31.03,2014,Michigan,251.0,269.0,5,1611.75,1548.0,1565.0,3.89074202475,17.0,,,-0.04199999999999998,,3.65
62,Maryland,Big Ten (East),,7,6,4.25,-2.67,1.58,46.74,16.67,8.58,5.31,5.11,3.3,6.81,4.19,0.5384615384615384,30.07,2014,Maryland,370.0,392.0,7,1575.923076923077,1621.0,1664.0,4.7445741303333335,43.0,,,-0.038000000000000034,,3.12
63,Kentucky,SEC (East),,5,7,3.24,-1.68,1.55,47.83,16.41,8.74,5.36,5.38,3.7,6.94,4.39,0.4166666666666667,31.419999999999998,2014,Kentucky,350.0,375.0,5,1404.5454545454545,1449.0,1370.0,3.8065511555,-79.0,,,-0.16699999999999998,,3.89
64,Iowa,Big Ten (West),,7,6,-0.41,1.79,1.37,41.4,11.97,8.48,5.73,4.89,3.24,6.55,4.3,0.5384615384615384,29.43,2014,Iowa,367.0,333.0,7,1647.5,1642.0,1628.0,4.7148897170769235,-14.0,,,-0.038000000000000034,,-0.4
65,Oklahoma State,Big 12,,7,6,2.13,-1.03,1.1,43.65,14.63,9.34,6.18,4.64,3.24,6.72,4.55,0.5384615384615384,29.019999999999996,2014,Oklahoma State,359.0,406.0,7,1734.75,1742.0,1846.0,2.946054151230769,104.0,,15.0,-0.09400000000000003,,3.49
66,Houston,American,,8,5,-0.88,1.73,0.85,40.69,11.82,7.36,5.68,5.56,3.38,6.47,4.36,0.6153846153846154,28.869999999999997,2014,Houston,387.0,268.0,8,1602.1666666666667,1667.0,1596.0,3.803264775615385,-71.0,,,0.010000000000000009,,-6.22
67,Northwestern,Big Ten (West),,5,7,-3.03,3.83,0.8,37.56,10.64,7.15,5.32,4.53,3.14,5.79,4.1,0.4166666666666667,26.92,2014,Northwestern,276.0,302.0,5,1529.5454545454545,1455.0,1580.0,4.756174043666667,125.0,,,-0.04199999999999998,,1.63
68,North Carolina,ACC (Coastal),,6,7,10.0,-9.86,0.14,50.47,23.92,8.7,7.03,5.15,4.04,6.9,5.24,0.46153846153846156,26.549999999999997,2014,North Carolina,432.0,507.0,6,1622.6153846153845,1591.0,1634.0,4.693563920769231,43.0,23.0,21.0,0.03799999999999998,,4.29
69,Rice,CUSA (West),,8,5,-0.04,-0.24,-0.28,40.11,16.56,9.42,6.46,4.46,3.65,6.4,4.95,0.6153846153846154,23.55,2014,Rice,374.0,370.0,8,1461.3846153846155,1505.0,1418.0,3.6529466,-87.0,,,0.010000000000000009,,-2.98
70,UAB,CUSA (East),,6,6,3.05,-3.35,-0.3,44.75,16.22,9.15,6.03,4.86,3.65,6.35,4.68,0.5,28.53,2014,UAB,398.0,359.0,6,1261.2727272727273,1297.0,1224.0,3.535275953363636,-73.0,,,0.0,,-2.05
71,Nevada,MWC (West),,7,6,0.61,-0.99,-0.38,40.09,15.47,6.97,5.77,5.57,4.33,6.13,5.01,0.5384615384615384,24.620000000000005,2014,Nevada,379.0,354.0,7,1464.6666666666667,1489.0,1461.0,5.253392734583334,-28.0,,,-0.038000000000000034,,-2.14
72,Northern Illinois,MAC (West),,11,3,-0.13,-0.94,-1.06,40.97,17.32,7.73,6.29,5.73,3.65,6.45,4.8,0.7857142857142857,23.65,2014,Northern Illinois,441.0,359.0,11,1520.4615384615386,1453.0,1522.0,4.255108000928571,69.0,,,0.08899999999999997,,-6.14
73,Oregon State,Pac-12 (North),,5,7,0.11,-1.53,-1.42,41.07,15.4,8.37,5.33,4.84,4.02,6.77,4.59,0.4166666666666667,25.67,2014,Oregon State,308.0,379.0,5,1538.6363636363637,1475.0,1581.0,4.1736816815,106.0,,,-0.19499999999999998,,4.0
74,Washington State,Pac-12 (North),,3,9,6.86,-8.4,-1.54,48.5,21.22,8.94,6.56,2.94,3.19,7.35,4.9,0.25,27.28,2014,Washington State,382.0,463.0,3,1428.3636363636363,1417.0,1454.0,4.5217949745,37.0,,,-0.027999999999999997,,6.47
75,Louisiana,Sun Belt,,9,4,-1.6,0.03,-1.57,39.35,15.35,8.03,6.78,5.76,3.68,6.75,5.14,0.6923076923076923,24.0,2014,Louisiana,383.0,338.0,9,1357.9166666666667,1375.0,1258.0,3.9174884725384613,-117.0,,,0.18300000000000005,,-5.57
76,Toledo,MAC (West),,9,4,5.09,-6.88,-1.79,44.99,21.5,8.45,7.11,6.23,3.03,7.17,5.13,0.6923076923076923,23.490000000000002,2014,Toledo,476.0,396.0,9,1467.75,1459.0,1459.0,4.065842203083333,0.0,,,0.18300000000000005,,-6.48
77,Western Michigan,MAC (West),,8,5,0.69,-2.48,-1.79,42.31,17.93,9.9,6.28,5.06,3.82,7.11,5.02,0.6153846153846154,24.380000000000003,2014,Western Michigan,439.0,324.0,8,1321.4166666666667,1305.0,1223.0,3.7074253663333336,-82.0,,,0.135,,-7.79
78,San Diego State,MWC (West),,7,6,-7.67,5.57,-2.1,32.87,9.21,7.16,5.55,5.74,3.18,6.39,4.2,0.5384615384615384,23.659999999999997,2014,San Diego State,325.0,258.0,7,1451.75,1442.0,1437.0,4.388594851846154,-5.0,,,0.08699999999999997,,-5.49
79,Temple,American,,6,6,-8.65,6.42,-2.23,35.45,7.15,7.1,5.27,4.45,3.26,5.83,4.05,0.5,28.300000000000004,2014,Temple,277.0,210.0,6,1528.090909090909,1500.0,1592.0,4.4459266995,92.0,,,0.0,,-3.9
80,Illinois,Big Ten (West),,6,7,0.75,-3.28,-2.53,41.13,17.98,8.44,6.46,4.88,3.96,6.74,4.88,0.46153846153846156,23.150000000000002,2014,Illinois,337.0,442.0,6,1355.1666666666667,1340.0,1356.0,4.835603463153846,16.0,,,-0.08700000000000002,,3.0
81,UTEP,CUSA (West),,7,6,-4.82,1.64,-3.18,35.76,15.29,7.25,6.44,5.3,4.56,5.98,5.25,0.5384615384615384,20.47,2014,UTEP,346.0,365.0,7,1208.6153846153845,1235.0,1191.0,3.781094295,-44.0,,,0.08699999999999997,,-3.64
83,Texas Tech,Big 12,,4,8,6.75,-10.31,-3.56,47.69,24.2,9.1,6.33,6.32,4.32,7.93,5.06,0.3333333333333333,23.49,2014,Texas Tech,366.0,495.0,4,1435.7272727272727,1338.0,1500.0,4.443163531666666,162.0,,,-0.11100000000000002,,4.11
84,Colorado,Pac-12 (South),,2,10,2.91,-6.54,-3.63,44.24,20.32,7.66,5.61,5.12,4.84,6.47,5.15,0.16666666666666666,23.92,2014,Colorado,342.0,468.0,2,1265.8333333333333,1287.0,1269.0,4.921506717833334,-18.0,,,-0.167,,6.45
85,Arkansas State,Sun Belt,,7,6,3.01,-6.97,-3.96,46.32,21.31,8.51,5.94,5.39,4.29,6.81,4.87,0.5384615384615384,25.01,2014,Arkansas State,477.0,396.0,7,1484.6666666666667,1479.0,1536.0,3.8363888386923075,57.0,,,0.08699999999999997,,-6.88
86,Syracuse,ACC (Atlantic),,3,9,-8.71,3.88,-4.84,32.65,9.35,7.37,5.83,5.29,2.62,6.25,3.89,0.25,23.299999999999997,2014,Syracuse,205.0,292.0,3,1508.7272727272727,1548.0,1554.0,4.40225056925,6.0,,,-0.125,,3.0
87,Indiana,Big Ten (East),,4,8,-0.32,-5.0,-5.32,40.18,18.7,6.99,5.66,7.14,3.96,7.08,4.84,0.3333333333333333,21.48,2014,Indiana,301.0,394.0,4,1441.5454545454545,1390.0,1503.0,4.946552399272727,113.0,,,-0.20800000000000002,,1.43
88,Fresno State,MWC (West),,6,8,-2.71,-2.81,-5.52,37.91,20.14,6.96,7.66,5.12,3.79,6.0,5.35,0.42857142857142855,17.769999999999996,2014,Fresno State,371.0,454.0,6,1399.923076923077,1384.0,1363.0,3.9898616611428572,-21.0,,,0.196,,-0.95
89,Central Michigan,MAC (West),,7,6,-4.45,-1.39,-5.84,34.8,17.07,8.77,6.45,4.58,3.17,6.42,4.77,0.5384615384615384,17.729999999999997,2014,Central Michigan,350.0,327.0,7,1346.1666666666667,1361.0,1255.0,4.166693661923077,-106.0,,,0.08699999999999997,,-7.61
90,Old Dominion,CUSA (East),,6,6,5.37,-11.46,-6.1,42.76,26.79,8.53,7.32,5.54,4.12,7.21,5.32,0.5,15.969999999999999,2014,Old Dominion,392.0,456.0,6,1237.2727272727273,1175.0,1192.0,4.478330733,17.0,,,0.0,,-3.6
91,Purdue,Big Ten (West),,3,9,-2.5,-3.83,-6.33,38.08,16.71,6.53,5.43,5.71,3.41,6.08,4.3,0.25,21.369999999999997,2014,Purdue,286.0,380.0,3,1270.1818181818182,1303.0,1271.0,3.880914703583333,-32.0,,,-0.125,,2.01
92,Texas State,Sun Belt,,7,5,-1.76,-4.67,-6.43,40.71,18.74,7.73,6.05,5.38,4.25,6.47,4.96,0.5833333333333334,21.970000000000002,2014,Texas State,406.0,332.0,7,1252.909090909091,1209.0,1277.0,4.336686810833333,68.0,,,0.04200000000000004,,-9.34
94,Bowling Green,MAC (East),,8,6,-0.59,-6.07,-6.66,38.98,24.14,7.28,6.25,5.03,4.18,6.17,5.12,0.5714285714285714,14.839999999999996,2014,Bowling Green,420.0,469.0,8,1471.3076923076924,1465.0,1445.0,5.1843016725,-20.0,,,0.05400000000000005,,-5.87
95,Wyoming,MWC (Mountain),,4,8,-5.44,-1.26,-6.69,33.25,19.8,8.34,6.9,4.83,4.32,6.38,5.46,0.3333333333333333,13.45,2014,Wyoming,253.0,394.0,4,1253.5454545454545,1309.0,1221.0,4.2891119162499995,-88.0,,,-0.08300000000000002,,0.14
96,Kansas,Big 12,,3,9,-8.27,1.42,-6.86,33.28,15.48,7.95,5.7,4.25,4.45,5.88,4.96,0.25,17.8,2014,Kansas,214.0,399.0,3,1228.1818181818182,1177.0,1197.0,2.19534014075,20.0,,,-0.139,,3.48
97,Florida International,CUSA (East),,4,8,-7.4,0.44,-6.95,32.89,13.31,7.11,6.06,3.75,3.35,5.12,4.53,0.3333333333333333,19.58,2014,Florida International,276.0,298.0,4,1173.1,1211.0,1134.0,5.1955015982,-77.0,,,0.04199999999999998,,-4.04
98,Vanderbilt,SEC (East),,3,9,-6.74,-0.23,-6.97,34.21,16.52,7.72,5.97,4.53,3.43,6.05,4.4,0.25,17.69,2014,Vanderbilt,206.0,399.0,3,1411.2727272727273,1387.0,1389.0,3.094876169166667,2.0,,,-0.25,,4.11
